source,ourDatabase,databaseLabel
albawaba.com,TRUE,Fake
alivetales.com,TRUE,Fake
allnews4us.com,TRUE,Fake
allnewspipeline.com,TRUE,Fake
allthingsoneplace.me,TRUE,Fake
alternativemediasyndicate.com,TRUE,Fake
anews24.org,TRUE,Fake
ayresearch.com,TRUE,Fake
bighairynews.com,TRUE,Fake
bramptonguardian.com,TRUE,Fake
calgarysun.com,TRUE,Fake
cannasos.com,TRUE,Fake
cap-news.com,TRUE,Fake
capitalxtra.com,TRUE,Fake
channel18news.com,TRUE,Fake
channel24news.com,TRUE,Fake
chatelaine.com,TRUE,Fake
cityworldnews.com,TRUE,Fake
civictribune.com,TRUE,Fake
clashdaily.com,TRUE,Fake
clipsg.com,TRUE,Fake
clipzui.com,TRUE,Fake
coed.com,TRUE,Fake
consciouslifenews.com,TRUE,Fake
conservativebyte.com,TRUE,Fake
conservativefighters.com,TRUE,Fake
dailyheadlines.com,TRUE,Fake
dailynewsposts.info,TRUE,Fake
dailysurge.com,TRUE,Fake
davidwolfe.com,TRUE,Fake
dcgazette.com,TRUE,Fake
downtrend.com,TRUE,Fake
elle.com.au,TRUE,Fake
emirates247.com,TRUE,Fake
eveningw.com,TRUE,Fake
ewao.com,TRUE,Fake
fakingnews.com,TRUE,Fake
feedstripes.com,TRUE,Fake
flashnewscorner.com,TRUE,Fake
flashnewss.club,TRUE,Fake
freeinfomedia.com,TRUE,Fake
her.ie,TRUE,Fake
ibtimes.sg,TRUE,Fake
immediatesafety.org,TRUE,Fake
in5d.com,TRUE,Fake
infostormer.com,TRUE,Fake
instylemag.com.au,TRUE,Fake
itaglive.com,TRUE,Fake
kellyandryan.com,TRUE,Fake
ladylibertysnews.com,TRUE,Fake
mainerepublicemailalert.com,TRUE,Fake
majorthoughts.com,TRUE,Fake
mamamia.com.au,TRUE,Fake
marieclaire.co.uk,TRUE,Fake
marthastewartweddings.com,TRUE,Fake
mentor2day.com,TRUE,Fake
myfreshnews.com,TRUE,Fake
mynewsla.com,TRUE,Fake
news4ktla.com,TRUE,Fake
newscrane.com,TRUE,Fake
newsexaminer.net,TRUE,Fake
newsfrompolitics.com,TRUE,Fake
newsuptoday.com,TRUE,Fake
newswatch28.com,TRUE,Fake
newswithviews.com,TRUE,Fake
nova969.com.au,TRUE,Fake
now100fm.com,TRUE,Fake
nrtonline.info,TRUE,Fake
nyeveningnews.com,TRUE,Fake
onecountry.com,TRUE,Fake
onepoliticalplaza.com,TRUE,Fake
patriotcrier.com,TRUE,Fake
plasticsurgerypeople.com,TRUE,Fake
player.fm,TRUE,Fake
politicalmayhem.news,TRUE,Fake
politicalsitenews.com,TRUE,Fake
popdust.com,TRUE,Fake
presidentialvoting2016.com,TRUE,Fake
pressfrom.com,TRUE,Fake
realitytvworld.com,TRUE,Fake
rearfront.com,TRUE,Fake
redbookmag.com,TRUE,Fake
redstatewatcher.com,TRUE,Fake
rense.com,TRUE,Fake
rickwells.us,TRUE,Fake
rogue-nation3.com,TRUE,Fake
rollingout.com,TRUE,Fake
spin.com,TRUE,Fake
steemit.com,TRUE,Fake
stormcloudsgathering.com,TRUE,Fake
subjectpolitics.com,TRUE,Fake
success-street.com,TRUE,Fake
syfy.com,TRUE,Fake
tasteofreality.com,TRUE,Fake
tdtalliance.com,TRUE,Fake
teaparty.org,TRUE,Fake
thebigriddle.com,TRUE,Fake
theblast.com,TRUE,Fake
thefreepatriot.org,TRUE,Fake
theglobalheadlines.net,TRUE,Fake
thenewyorkevening.com,TRUE,Fake
theracketreport.com,TRUE,Fake
therightists.com,TRUE,Fake
therightscoop.com,TRUE,Fake
theroyaluk.com,TRUE,Fake
theseattletribune.com,TRUE,Fake
thetalko.com,TRUE,Fake
thetruthdivision.com,TRUE,Fake
threepercenternation.com,TRUE,Fake
torontosun.com,TRUE,Fake
trendyfame.com,TRUE,Fake
trueamericans.me,TRUE,Fake
ultimateclassicrock.com,TRUE,Fake
undergroundworldnews.com,TRUE,Fake
unitedmediapublishing.com,TRUE,Fake
upi.com,TRUE,Fake
usamagazinestudio.com,TRUE,Fake
usanewstoday.com,TRUE,Fake
usleader.net,TRUE,Fake
uspostman.com,TRUE,Fake
usviewer.com,TRUE,Fake
viralactions.com,TRUE,Fake
vogue.com.au,TRUE,Fake
weeklyworldnews.com,TRUE,Fake
wikinow.co,TRUE,Fake
winningdemocrats.com,TRUE,Fake
wireler.com,TRUE,Fake
wjla.com,TRUE,Fake
wundergroundmusic.com,TRUE,Fake
xxlmag.com,TRUE,Fake
yesimright.com,TRUE,Fake
nickiswift.com,TRUE,Fake
observer.com,TRUE,Fake
express.co.uk,TRUE,Fake
brides.com,TRUE,Fake
metro.co.uk,TRUE,Fake
broadwayworld.com,TRUE,Fake
archive.is,TRUE,Fake
iheart.com,TRUE,Fake
elle.com,TRUE,Fake
archive.org,TRUE,Fake
variety.com,TRUE,Fake
thelist.com,TRUE,Fake
magzter.com,TRUE,Fake
ew.com,TRUE,Fake
sheknows.com,TRUE,Fake
thecut.com,TRUE,Fake
pressreader.com,TRUE,Fake
sacbee.com,TRUE,Fake
rssing.com,TRUE,Fake
cjws.win,TRUE,Fake
country929.com,TRUE,Fake
kvoo.com,TRUE,Fake
metdaan.com,TRUE,Fake
selftanning.com,TRUE,Fake
tvinsider.com,TRUE,Fake
wenn.com,TRUE,Fake
fury.news,TRUE,Fake
constitution.com,TRUE,Fake
loser.com,TRUE,Fake
nationalreport.net,TRUE,Fake
triggerreset.net,TRUE,Fake
liberaldarkness.com,TRUE,Fake
france24-tv.com,TRUE,Fake
amazingnews.net,TRUE,Fake
newsandstoriesfromusa.com,TRUE,Fake
southafricatoday.net,TRUE,Fake
blackpigeonspeaks.com,TRUE,Fake
gawken.com,TRUE,Fake
reagancoalition.com,TRUE,Fake
newswars.com,TRUE,Fake
oathkeepers.org,TRUE,Fake
brokenworldnews.com,TRUE,Fake
patriotfires.com,TRUE,Fake
thegoldwater.com,TRUE,Fake
resistancereport.com,TRUE,Fake
democraticreview.com,TRUE,Fake
truthexaminer.com,TRUE,Fake
milo.yiannopoulos.net,TRUE,Fake
abriluno.com,TRUE,Fake
frc.org,TRUE,Fake
theproudliberal.org,TRUE,Fake
freedumjunkshun.com,TRUE,Fake
beaware.one,TRUE,Fake
liberalsociety.com,TRUE,Fake
bluntforcetruth.com,TRUE,Fake
bb4sp.com,TRUE,Fake
americanpatriotdaily.com,TRUE,Fake
researchantisemitism.ca,TRUE,Fake
afa.net,TRUE,Fake
truthinmedia.com,TRUE,Fake
rightwingnews.com,TRUE,Fake
thepublicdiscourse.com,TRUE,Fake
renewamerica.com,TRUE,Fake
joeforamerica.com,TRUE,Fake
70news.wordpress.com,TRUE,Fake
surenews.com,TRUE,Fake
usaconservativereport.com,TRUE,Fake
redice.tv,TRUE,Fake
progresstribune.com,TRUE,Fake
patribotics.blog,TRUE,Fake
mbganews.com,TRUE,Fake
conservativemedia.com,TRUE,Fake
consmovement.com,TRUE,Fake
loonwatch.com,TRUE,Fake
thereligionofpeace.com,TRUE,Fake
voiceofeurope.com,TRUE,Fake
hoggwatch.com,TRUE,Fake
vidmax.com,TRUE,Fake
studionewsnetwork.com,TRUE,Fake
progressivestoday.com,TRUE,Fake
jihadwatch.org,TRUE,Fake
thepeoplestruth.com,TRUE,Fake
patrioticviralnews.com,TRUE,Fake
concernedwomen.org-blog,TRUE,Fake
speisa.com,TRUE,Fake
gotnews.com,TRUE,Fake
personalliberty.com,TRUE,Fake
trumpservativenews.info,TRUE,Fake
viraldevil.com,TRUE,Fake
thehornnews.com,TRUE,Fake
focusonthefamily.com,TRUE,Fake
rightalerts.com,TRUE,Fake
fairus.org,TRUE,Fake
takimag.com,TRUE,Fake
squawker.org,TRUE,Fake
pmnightlynews.com,TRUE,Fake
adflegal.org,TRUE,Fake
10news.one,TRUE,Fake
tmn.today,TRUE,Fake
acpeds.org,TRUE,Fake
o4anews.com,TRUE,Fake
